Date,Open,High,Low,Close*,Adj. close**,Volume
09-Nov-2018,349.00,354.00,345.23,350.51,350.51,"50,94,800"
08-Nov-2018,348.50,357.58,348.44,351.40,351.40,"70,90,700"
07-Nov-2018,343.34,351.18,340.80,348.16,348.16,"73,74,500"
06-Nov-2018,339.07,348.80,336.09,341.06,341.06,"67,62,900"
05-Nov-2018,340.50,343.96,330.14,341.40,341.40,"78,31,000"
02-Nov-2018,343.74,349.20,340.91,346.41,346.41,"78,08,000"
01-Nov-2018,338.26,347.84,334.73,344.28,344.28,"80,00,100"
31-Oct-2018,332.54,342.00,329.10,337.32,337.32,"76,24,300"
30-Oct-2018,328.39,337.90,322.26,329.90,329.90,"91,26,700"
29-Oct-2018,337.47,347.16,326.50,334.85,334.85,"1,44,86,000"
26-Oct-2018,308.25,339.90,306.65,330.90,330.90,"2,74,25,500"
25-Oct-2018,317.22,321.00,301.01,314.86,314.86,"2,08,40,700"
24-Oct-2018,301.05,304.44,285.73,288.50,288.50,"2,00,58,300"
23-Oct-2018,263.87,297.93,262.10,294.14,294.14,"1,90,27,800"
22-Oct-2018,260.68,261.86,252.59,260.95,260.95,"56,00,300"
19-Oct-2018,267.39,269.66,253.50,260.00,260.00,"93,75,500"
18-Oct-2018,269.29,271.00,263.00,263.91,263.91,"54,21,200"
17-Oct-2018,282.40,282.70,265.80,271.78,271.78,"86,55,500"
16-Oct-2018,265.70,277.38,262.24,276.59,276.59,"95,26,400"
15-Oct-2018,259.06,263.28,254.54,259.59,259.59,"62,00,000"
12-Oct-2018,261.00,261.99,252.01,258.78,258.78,"72,01,400"
11-Oct-2018,257.53,262.25,249.03,252.23,252.23,"81,67,700"
10-Oct-2018,264.61,265.51,247.77,256.88,256.88,"1,28,15,300"
09-Oct-2018,255.25,266.77,253.30,262.80,262.80,"1,20,60,600"
08-Oct-2018,264.52,267.76,249.00,250.56,250.56,"1,34,72,700"
05-Oct-2018,274.65,274.88,260.00,261.95,261.95,"1,79,44,500"
04-Oct-2018,293.95,294.00,277.67,281.83,281.83,"98,14,200"
03-Oct-2018,303.33,304.60,291.57,294.80,294.80,"79,95,000"
02-Oct-2018,313.95,316.84,299.15,301.02,301.02,"1,17,43,500"
01-Oct-2018,305.77,311.44,301.05,310.70,310.70,"2,17,77,600"
28-Sep-2018,270.26,278.00,260.56,264.77,264.77,"3,36,49,700"
27-Sep-2018,312.90,314.96,306.91,307.52,307.52,"85,09,100"
26-Sep-2018,301.91,313.89,301.11,309.58,309.58,"78,43,200"
25-Sep-2018,300.00,304.60,296.50,300.99,300.99,"44,81,700"
24-Sep-2018,298.48,303.00,293.58,299.68,299.68,"48,43,000"
21-Sep-2018,297.70,300.58,295.37,299.10,299.10,"50,50,500"
20-Sep-2018,303.56,305.98,293.33,298.33,298.33,"73,49,400"
19-Sep-2018,280.51,300.00,280.50,299.02,299.02,"82,94,900"
18-Sep-2018,296.69,302.64,275.50,284.96,284.96,"1,65,47,500"
17-Sep-2018,290.04,300.87,288.13,294.84,294.84,"68,87,600"
14-Sep-2018,288.76,297.33,286.52,295.20,295.20,"67,65,600"
13-Sep-2018,288.02,295.00,285.18,289.46,289.46,"63,40,300"
12-Sep-2018,281.44,292.50,278.65,290.54,290.54,"1,00,15,400"
11-Sep-2018,279.47,282.00,273.55,279.44,279.44,"91,70,000"
10-Sep-2018,273.26,286.03,271.00,285.50,285.50,"1,42,83,500"
07-Sep-2018,260.10,268.35,252.25,263.24,263.24,"2,24,91,900"
06-Sep-2018,284.80,291.17,278.88,280.95,280.95,"74,80,800"
05-Sep-2018,285.05,286.78,277.18,280.74,280.74,"77,20,800"
04-Sep-2018,296.94,298.19,288.00,288.95,288.95,"83,50,500"
31-Aug-2018,302.00,305.31,298.60,301.66,301.66,"53,75,100"
30-Aug-2018,302.26,304.60,297.72,303.15,303.15,"72,16,700"
29-Aug-2018,310.27,311.85,303.69,305.01,305.01,"74,47,400"
28-Aug-2018,318.41,318.88,311.19,311.86,311.86,"76,49,100"
27-Aug-2018,318.00,322.44,308.81,319.27,319.27,"1,30,79,300"
24-Aug-2018,320.70,323.85,319.40,322.82,322.82,"36,02,600"
23-Aug-2018,319.14,327.32,318.10,320.10,320.10,"51,47,300"
22-Aug-2018,320.87,323.88,314.67,321.64,321.64,"59,46,000"
21-Aug-2018,310.61,324.79,309.00,321.90,321.90,"1,31,72,200"
20-Aug-2018,291.70,308.50,288.20,308.44,308.44,"1,74,02,300"
17-Aug-2018,323.50,326.77,303.53,305.50,305.50,"1,89,58,600"
16-Aug-2018,339.91,342.28,333.82,335.45,335.45,"60,64,000"
15-Aug-2018,341.91,344.49,332.14,338.69,338.69,"91,01,300"
14-Aug-2018,358.45,359.20,347.10,347.64,347.64,"69,86,400"
13-Aug-2018,361.13,363.19,349.02,356.41,356.41,"1,04,50,200"
10-Aug-2018,354.00,360.00,346.00,355.49,355.49,"1,15,52,000"
09-Aug-2018,365.55,367.01,345.73,352.45,352.45,"1,71,03,700"
08-Aug-2018,369.09,382.64,367.12,370.34,370.34,"2,45,71,200"
07-Aug-2018,343.84,387.46,339.15,379.57,379.57,"3,08,75,800"
06-Aug-2018,345.46,354.98,341.82,341.99,341.99,"85,64,300"
03-Aug-2018,347.81,355.00,342.53,348.17,348.17,"1,36,56,500"
02-Aug-2018,328.44,349.99,323.16,349.54,349.54,"2,32,15,000"
01-Aug-2018,297.99,303.00,293.00,300.84,300.84,"1,01,29,400"
31-Jul-2018,292.25,298.32,289.07,298.14,298.14,"50,76,900"
30-Jul-2018,295.90,296.10,286.13,290.17,290.17,"68,14,100"
27-Jul-2018,307.25,307.69,295.34,297.18,297.18,"57,03,300"
26-Jul-2018,304.85,310.70,303.64,306.65,306.65,"46,30,500"
25-Jul-2018,296.74,309.62,294.50,308.74,308.74,"70,75,400"
24-Jul-2018,304.42,307.72,292.55,297.43,297.43,"95,90,800"
23-Jul-2018,301.84,305.50,292.86,303.20,303.20,"1,09,92,900"
20-Jul-2018,321.23,323.24,311.71,313.58,313.58,"51,62,200"
19-Jul-2018,316.33,323.54,314.01,320.23,320.23,"59,15,300"
18-Jul-2018,325.00,325.50,316.25,323.85,323.85,"56,24,200"
17-Jul-2018,308.81,324.74,308.50,322.69,322.69,"69,96,200"
16-Jul-2018,311.71,315.16,306.25,310.10,310.10,"78,18,700"
13-Jul-2018,315.58,319.58,309.25,318.87,318.87,"58,69,800"
12-Jul-2018,321.43,323.23,312.77,316.71,316.71,"57,21,200"
11-Jul-2018,315.80,321.94,315.07,318.96,318.96,"48,84,100"
10-Jul-2018,324.56,327.68,319.20,322.47,322.47,"94,71,500"
09-Jul-2018,311.99,318.52,308.00,318.51,318.51,"75,96,800"
06-Jul-2018,304.95,312.07,302.00,308.90,308.90,"88,65,500"
05-Jul-2018,313.76,314.39,296.22,309.16,309.16,"1,74,76,400"
03-Jul-2018,331.75,332.49,309.69,310.86,310.86,"1,22,82,600"
02-Jul-2018,360.07,364.78,329.85,335.07,335.07,"1,87,59,800"
29-Jun-2018,353.33,353.86,342.41,342.95,342.95,"64,92,400"
28-Jun-2018,348.66,357.02,346.11,349.93,349.93,"83,98,000"
27-Jun-2018,345.00,350.79,339.50,344.50,344.50,"83,33,700"
26-Jun-2018,336.05,343.55,325.80,342.00,342.00,"74,52,500"
25-Jun-2018,330.12,338.47,327.50,333.01,333.01,"69,31,300"
22-Jun-2018,351.54,352.25,332.00,333.63,333.63,"1,02,66,100"
21-Jun-2018,362.00,366.21,346.27,347.51,347.51,"79,67,100"
